"lat","lon","city","idx","stamp","pol","x","aqi","tz","utime","img"
29.2718,88.8876,"Shigatse Stations, Xigaze (日喀则地区日喀则监测站)",1340,1502877600,"pm25","7065","-","+0800","2017-08-16 18:00:00","_c_azyk0t0H82fenTaQ1PO2Y-nbPhac8uBP_57InPtnY_Xz0TAA"
38.9389,100.4497,"kē wěi, Zhangye (张掖科委)",1679,1524740400,"pm25","7145","132","+0800","2018-04-26 19:00:00","_c_azyk0t0H-6Z8Gzvmn6z5dPfLp8CgA"
23.6502,113.6246,"Tianhu, Guangzhou (广州天湖)",948,1524744000,"pm25","781","91","+0800","2018-04-26 20:00:00","_c_azci9NzEtPyc9L13-6c__T7fP0ny5Z-WznNAA"
46.619,131.1651,"nánxiǎo shì, Shuangyashan (双鸭山南小市)",1619,1524740400,"pm25","7265","76","+0800","2018-04-26 19:00:00","_c_azyk0t0H_a3_Nyx9qnGzfqP-2d_nRD_9MdTQA"
26.2920639,73.037911111111,"Collectorate Jodhpur, Jodhpur, India",3167,1524166200,"pm25","8675","-","+0530","2018-04-20 01:00:00","_8_Sz8spPySgoLdJ3zs_JSU0uyS9KLElVgAoCAA"
17.6599188,75.9063906,"Solapur, Solapur, India",3180,1524166200,"pm25","8729","-","+0530","2018-04-20 01:00:00","_8_SzCs7PSSwoLdKH0gA"
29.357104,113.128958,"Yueyang (岳阳)",1157,1524740400,"pm25","1535","152","+0800","2018-04-26 19:00:00","_y02s0NB39rPKTS2I0X-6afPLGZtj9LX0NRUSixUiS1MrE_PSAQ"
23.2536,116.4019,"Chaonanzi Station, Shantou (汕头潮南子站)",975,1524744000,"pm25","4292","114","+0800","2018-04-26 20:00:00","_ASAA3_9DTjpHdWFuZ2Rvbmcv5rGV5aS0L-a9ruWNl-WtkOermQ"
43.9167,125.323,"Food Factory, Changchun (长春食品厂)",995,1524740400,"pm25","1268","85","+0800","2018-04-26 19:00:00","_c_azyk0t0H85df-zGUv1Xy6e_3Ry49O-JgA"
23.8822,100.0869,"City EPA, Lincang (临沧市环保局)",1487,1524744000,"pm25","7217","147","+0800","2018-04-26 20:00:00","_ARoA5f9DTjptZXAv5Li05rKnL-W4gueOr-S_neWxgA"
46.58931,125.103784,"Daqing (大庆)",1144,1524740400,"pm25","1483","68","+0800","2018-04-26 19:00:00","_y02s0NB39rPKTS2I0X-6ZPnTXW0x-lr6mgqJxQouiYWZeekA"
34.596544,119.221282,"Lianyungang (连云港)",1347,1524744000,"pm25","1491","155","+0800","2018-04-26 20:00:00","_y02s0HD2s_LKTMxLLy7Vf7F_3pNdE5_tWK-DTVD_6Y6m57MnPtva_Xz1TOwqnm1Z9XL6imdb9j1t3_Wss0FTIbFYwQeoqrI0Lx2oFgA"
33.402778,120.117778,"Yancheng power station , Yancheng (盐城盐城电厂)",1134,1524744000,"pm25","889","153","+0800","2018-04-26 20:00:00","_c_az8spMzEsvLtV_PnvC0_l9UOr5lK1P-5oA"
25.454085,119.007777,"Putian (莆田)",3555,1524744000,"pm25","7887","153","+0800","2018-04-26 20:00:00","_y02s0HD2s8pNLdB_0df2fMoG_Re9U57O73vas-vJ7slPJ_S92L5eB00BmHq6o-n57InPtnY_Xz0TTcGTHXOeztn8bMOWp7smayokFisElJZkJuYBAA"
26.6946,119.5001,"jīn hán shuǐkù, Ningde (宁德金涵水库)",1485,1524744000,"pm25","7177","160","+0800","2018-04-26 20:00:00","_ARoA5f9DTjptZXAv5a6B5b63L-mHkea2teawtOW6kw"
23.796373,90.424614,"Dhaka US Consulate, Bangladesh (ঢাকা কনস্যুলেট, Bangladesh)",2024,1524744000,"pm25","8781","95","+0600","2018-04-26 18:00:00","_c3KxcslIzE7UDw1WcM7PKy7NSSxJBQA"
16.445329,102.835251,"Khonkaen, Thailand (ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค 4 ขอนแก่น)",1693,1524740400,"pm25","3688","69","+0700","2018-04-26 18:00:00","_C_GwerBj1YOdHQ92LH-wY-aDHWsf7NjxYMf0BzsawSJbwOxFD3ZsUgCp27EZrGgjWLodKArmAlUsBgvOgygFyy4GSe3sBGtZABZsUTABGtIEtgMo1QhSBrJ4JgA"
13.934197,101.586965,"Tha Tum, Si Maha Phot, Prachin Buri, Thailand (ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี)",1727,1524740400,"pm25","9014","29","+0700","2018-04-26 18:00:00","_JYvBCYRAFMVasQILsAILsKI9TQOy6oIgXgTZiyhkukkpfsfjy0u6tpG-lq85yRFDsiyV_ANvssoVQPbnzx-ZZZAzlBTKryhRpiKOMglvdwM"
36.11638889,117.1013889,"ICT Technology, Taian (泰安信通科技)",515,1524744000,"pm25","588","147","+0800","2018-04-26 20:00:00","_c_azCs5IzEtPyc9L13-2ecPTdZ36T_YvfNkw6_nyic-6GgA"
27.238893,111.467791,"Shaoyang (邵阳)",3042,1524740400,"pm25","7906","70","+0800","2018-04-26 19:00:00","_y02s0HD2s8pNLdB_2bT15YzN-k93ND3Z0fBkx1odDPHneyc8XbLlaV8TFqm-9U_2z326sQFT6mnPtKfbl2LV9WzDlqdz5j_rbNBUSCxWCM5IzK9MzEsHAA"
19.5508,110.802,"City Land Resources Bureau office environment , Wenchang (文昌市国土环境资局办公楼)",1486,1524740400,"pm25","5248","68","+0800","2018-04-26 19:00:00","_ASwA0_9DTjptZXAv5paH5piML-W4guWbveWcn-eOr-Wig-i1hOWxgOWKnuWFrOalvA"
31.980175,120.894339,"Nantong (南通)",1301,1524740400,"pm25","1490","186","+0800","2018-04-26 19:00:00","_y02s0HD2s_LKTMxLLy7Vf9o7_WXDLDDV3KWDKfFi5s5nC5dikXg6v-_JjrVYJJ7NmP9s57QXXRufzl6rqZBYrOCXmFeSn5cOAA"
36.650997,117.120497,"Jinan (济南)",1294,1524744000,"pm25","1505","161","+0800","2018-04-26 20:00:00","_y02s0HD2swrOSMxLT8nPS9d_trXvae90_ac7mp7Pnvhsa_fz1TN1sCrYuPHJjjnPd_eD-GuXvZy5CKuyZ5s7n87ve7pz_9M5u7AqeL584tOdm551NuCx5eWmxhfNe7EraJsDNAGX9mdzdj3d1fVkV8_Tvibs2ls3PN8_5VlXw7MFCzUVEosVvDLzEvMA"
34.58055556,117.7352778,"Taierzhuang EPA, Zaozhuang (枣庄台儿庄环保局)",501,1524744000,"pm25","542","152","+0800","2018-04-26 20:00:00","_c_azCs5IzEtPyc9L1382b_HTXS36T_s3PG3ZD2Q971v_ZP_cpxsbAA"
26.83399722,80.8917361,"Talkatora, Lucknow, India",2714,1524742200,"pm25","8188","212","+0530","2018-04-26 17:00:00","_8_Sz8ilNzs7LL9cPSczJTizJL0oEAA"
30.9431,118.7175,"BDA Station, Xuancheng (宣城开发区子站)",1469,1524744000,"pm25","7136","161","+0800","2018-04-26 20:00:00","_AR0A4v9DTjptZXAv5a6j5Z-OL-W8gOWPkeWMuuWtkOermQ"
35.4569687,136.7719711,"Fukumitsuhigashi, Gifu, Gifu, Japan (日本岐阜北部岐阜市)",1958,1524740400,"pm25","2224","68","+0900","2018-04-26 20:00:00","_8wqwerppwssZc57uaNKHsnqmv2xeAQA"
37.8569773,127.7500616,"Seoksa-dong, Chuncheon-si, Gangwon, South Korea (대한민국춘천시 석사동 강원)",1579,1524744000,"pm25","3978","109","+0900","2018-04-26 21:00:00","_8w6yck_MSy_Pz9N3zijNS85Izc_TLc7UD07Nzy5O1E3Jz0sHAA"
39.6969,106.8089,"Forestry Bureau, Wuhai (乌海市林业局)",1433,1524744000,"pm25","7298","82","+0800","2018-04-26 20:00:00","_ARoA5f9DTjptZXAv5LmM5rW3L-W4guael-S4muWxgA"
12.99251389,80.23744722,"IIT, Chennai, Chennai, India",3225,1524745800,"pm25","8184","160","+0530","2018-04-26 18:00:00","_8_Szcs5IzctLzNT39AwBAA"
27.994267,120.699367,"Wenzhou (温州)",1184,1524740400,"pm25","1441","155","+0800","2018-04-26 19:00:00","_y02s0HD2s4rKSM3KTMxL13-2Y-XT7fOe7mjSf9o7_dnWZTo4JHc0PV89E4fk88nrn_ZMxyH5ct_MZzv34db5bOt2TYXEYoXw1LyqjPxSAA"
30.2005555,103.527777,"Pujiang County Party School, Chengdu (成都蒲江县委党校)",1545,1524744000,"pm25","9484","127","+0800","2018-04-26 20:00:00","_ASAA3_9DTjptZXAv5oiQ6YO9L-iSsuaxn-WOv-WnlOWFmuagoQ"
